Tenor,Mid_Yield,Bid_Yield
1W,0.03936,0.03919
2W,0.039008,0.038893
3W,0.038919999999999996,0.038822
1M,0.038854,0.038822999999999996
2M,0.038084,0.038053
3M,0.037524,0.037492
4M,0.03693,0.036898
5M,0.036485,0.036452
6M,0.036093,0.036057
7M,0.035738,0.035694
8M,0.0354,0.03536
9M,0.035078,0.035037
10M,0.034735,0.034688
11M,0.034435,0.034390000000000004
12M,0.034155000000000005,0.034102
18M,0.03258,0.032529
2Y,0.031966,0.031861
3Y,0.03164,0.031509999999999996
4Y,0.03189,0.031844000000000004
5Y,0.032325,0.032248
6Y,0.032852,0.032759
7Y,0.033431999999999996,0.033333
8Y,0.034011,0.033912
9Y,0.034589,0.034533
10Y,0.035141,0.035101
12Y,0.036172,0.03612
15Y,0.037382,0.037297
20Y,0.03837,0.038286
25Y,0.038454999999999996,0.038384
30Y,0.038139,0.038034
40Y,0.037059,0.036913
