Tenor,Tranche,Attachment,Detachment,Market_Spread_bps,Model_Spread_bps,Error_bps,Expected_Loss_pct,Correlation
1Y,Equity 0-3%,0.0,3.0,524.43,539.7890562062229,15.359056206222931,5.222348606124116,0.5626991769445019
1Y,Mezz 3-7%,3.0,7.000000000000001,52.94,103.42738370087446,50.48738370087446,1.0277556817828568,0.5626991769445019
1Y,Mezz 7-10%,7.000000000000001,10.0,21.62,44.40923334580363,22.789233345803627,0.44291698983050276,0.5626991769445019
1Y,Senior 10-15%,10.0,15.0,5.21,21.819551393236686,16.609551393236686,0.21792488471905755,0.5626991769445019
1Y,Senior 15-100%,15.0,100.0,4.78,1.032984318249158,3.747015681750842,0.010330434708245772,0.5626991769445019
2Y,Equity 0-3%,0.0,3.0,611.2,625.2631126329096,14.063112632909565,11.686395831891401,0.5688202564087141
2Y,Mezz 3-7%,3.0,7.000000000000001,90.94,164.49296044309645,73.55296044309645,3.2309331619799,0.5688202564087141
2Y,Mezz 7-10%,7.000000000000001,10.0,40.63,80.57201410212843,39.94201410212843,1.5973867387121192,0.5688202564087141
2Y,Senior 10-15%,10.0,15.0,14.33,43.93165949452071,29.60165949452071,0.8745436786588521,0.5688202564087141
2Y,Senior 15-100%,15.0,100.0,8.3,2.6910913638997145,5.608908636100287,0.05381983485456938,0.5688202564087141
3Y,Equity 0-3%,0.0,3.0,698.04,706.4166254395524,8.376625439552413,19.01773889474348,0.5776228567159976
3Y,Mezz 3-7%,3.0,7.000000000000001,133.1,227.8604890264716,94.76048902647162,6.594458368770677,0.5776228567159976
3Y,Mezz 7-10%,7.000000000000001,10.0,63.54,122.57035522272992,59.030355222729916,3.606804544366075,0.5776228567159976
3Y,Senior 10-15%,10.0,15.0,26.45,71.87988519056267,45.42988519056267,2.1323930790678016,0.5776228567159976
3Y,Senior 15-100%,15.0,100.0,12.73,5.221718502860681,7.508281497139319,0.1565848240808061,0.5776228567159976
5Y,Equity 0-3%,0.0,3.0,821.54,781.7668409142462,39.77315908575372,32.454870983238074,0.6213839583622177
5Y,Mezz 3-7%,3.0,7.000000000000001,95.08,333.2751847089396,238.19518470893962,15.334403833477628,0.6213839583622177
5Y,Mezz 7-10%,7.000000000000001,10.0,113.1,206.76444719821947,93.66444719821948,9.813305814496783,0.6213839583622177
5Y,Senior 10-15%,10.0,15.0,55.94,136.5547226594026,80.61472265940259,6.59643319326724,0.6213839583622177
5Y,Senior 15-100%,15.0,100.0,21.72,13.418158174970964,8.301841825029035,0.6690682410455666,0.6213839583622177
7Y,Equity 0-3%,0.0,3.0,962.44,906.9774527352255,55.46254726477457,47.825636740065605,0.6315427366558761
7Y,Mezz 3-7%,3.0,7.000000000000001,312.75,457.9506623101245,145.20066231012453,27.52140991940052,0.6315427366558761
7Y,Mezz 7-10%,7.000000000000001,10.0,177.64,308.7418802123031,131.10188021230312,19.457629366122383,0.6315427366558761
7Y,Senior 10-15%,10.0,15.0,98.0,218.17697017021027,120.17697017021027,14.168650171661506,0.6315427366558761
7Y,Senior 15-100%,15.0,100.0,38.5,25.590369013255668,12.909630986744332,1.7769093930055344,0.6315427366558761
10Y,Equity 0-3%,0.0,3.0,1011.68,903.5517230558693,108.12827694413068,61.84427074354455,0.6493049346228682
10Y,Mezz 3-7%,3.0,7.000000000000001,377.47,527.6476990304343,150.17769903043427,41.59718894143579,0.6493049346228682
10Y,Mezz 7-10%,7.000000000000001,10.0,228.02,382.70820403480053,154.68820403480052,32.04643420221335,0.6493049346228682
10Y,Senior 10-15%,10.0,15.0,135.87,287.2604350640554,151.3904350640554,25.08077861813762,0.6493049346228682
10Y,Senior 15-100%,15.0,100.0,54.11,39.79953406201692,14.310465937983082,3.907319597594804,0.6493049346228682
